Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have?,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
2024-01-01T09:47:05Z,United States,Philadelphia,NA,Big Pharmaceuticals,Johnson&Johnson,Public,5000+,,Bachelors or Equivalent,None,Biologics development,5,120000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T10:08:07Z,US,NYC,NA,Big Pharmaceuticals,Pfizer,Public,5000+,,M.D./PharmD/D.D.S. or Equivalent,None,NA,8,245000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:13:27Z,United States of America,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,M.D./PharmD/D.D.S. or Equivalent,None,NA,3,160000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:20:53Z,United States,Chicago,NA,Food,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,R&D - Manage 2 junior scientists and 1 CRO relationship to support lab characterization of fermentation process design.,11,120000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T10:24:24Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,LSSBB,NA,14,180000,,,,,56000,,,NA,,,,40-50,NA
2024-01-01T10:28:21Z,USA,Seattle,NA,Small Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,MBA,"VP Data Science - head bioinformatics & ML at startup, team of 10",13,200000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T10:34:15Z,USA,I-270 corridor,NA,Government,Parsons,Government,5000+,,Bachelors or Equivalent,None,Quality assurance and research,3,85000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:42:26Z,United States,New York City,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,2,92231,,,,,NA,,,NA,,,,50-60,NA
2024-01-01T10:45:55Z,USA,Milwaukee,NA,Chemical,Milliporesigma,Private,5000+,,Bachelors or Equivalent,None,Manage chemical manufacturing department. a direct reports 3 managers under me.,5,125000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T10:48:07Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,M.D./PharmD/D.D.S. or Equivalent,None,NA,5,280000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T10:50:44Z,USA,DC Area/I-270,NA,Government,FDA,Government,5000+,,PhD or Equivalent,None,Research Scientist- Manage regulatory reviews,4,95000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:51:14Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,R&D bench for small molecule,6,115000,,,,,15000,,,NA,,,,50-60,NA
2024-01-01T10:52:08Z,USA,Research Triangle,NA,Industrial Biotech,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Fermentation scientist,6,115000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:56:48Z,United States,Chicago,NA,Contract Manufacturing Organization,Prefer not to say,Academia/College/Universities,1-50,,Bachelors or Equivalent,None,NA,4,60000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T10:58:00Z,United States,Philadelphia,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,"Daily lab ops, vendor mgmt, ELN and inventory implementation, and space planning/lab build out",11,115000,,,,,8000,,,NA,,,,40-50,NA
2024-01-01T10:58:53Z,USA,Research Triangle,NA,Contract Research Organization,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,4,105000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T10:59:55Z,United States,Boston,NA,Academia/Research/Institution,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,4,135000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T11:03:13Z,USA,Seattle,NA,Contract Research Organization,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,Scientist for flow cytometry bioanalytical platform contributing to IND-enabling preclinical studies. One other scientist and I manage a team of 4-6 research associates,0,90000,,,,,5000,,,NA,,,,40-50,NA
2024-01-01T11:04:02Z,USA,NYC,NA,Big Pharmaceuticals,Merck,Public,5000+,,PhD or Equivalent,None,R&D team lead & lab deliverables,5,170000,,,,,15000,,,NA,,,,30-40,NA
2024-01-01T11:05:09Z,Switzerland,Basel,NA,Big Pharmaceuticals,Prefer not to say,Private,5000+,,PhD or Equivalent,None,Director of tech/data side of things,5,200000,,,,,25000,,,NA,,,,50-60,NA
2024-01-01T11:10:01Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,5,135000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T11:15:05Z,United States,Boston,NA,Big Pharmaceuticals,Takeda,Public,5000+,,Bachelors or Equivalent,None,Regulatory Affairs,11,190000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:15:17Z,United States,Midwest,NA,Big Pharmaceuticals,Seagen now Pfizer,Public,5000+,,High School or Equivalent,None,NA,7,81000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:17:16Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Public,50-200,,PhD or Equivalent,None,NA,4,130000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:19:56Z,United States of america,Boston,NA,Industrial Biotech,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,Manage functional group of research scientists and associates,7,170000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:20:43Z,US,Chicago,NA,Contract Research Organization,Charles River,Public,5000+,,PhD or Equivalent,None,NA,1,75000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T11:22:28Z,US,San Diego,NA,Big Pharmaceuticals,Novartis,Public,5000+,,Masters or Equivalent,None,NA,6,124800,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:23:38Z,USA,Philadelphia,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,7,175000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T11:25:35Z,United States,NYC,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,3,168500,,,,,5000,,,NA,,,,30-40,NA
2024-01-01T11:28:45Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,0,117000,,,,,5000,,,NA,,,,40-50,NA
2024-01-01T11:35:11Z,USA,Boston,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Project lead; manage 3 reports,2,162000,,,,,15000,,,NA,,,,40-50,NA
2024-01-01T11:37:48Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,NA,5,110000,,,,,NA,,,NA,,,,NA,NA
2024-01-01T11:38:32Z,USA,San Diego,NA,Contract Manufacturing Organization,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,Assay Development,0,98630,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:41:10Z,USA,NYC,NA,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Masters or Equivalent,None,Build clinical data pipelines and infrastructure,3,160000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:43:42Z,USA,Boston,NA,Big Pharmaceuticals,BMS,Public,5000+,,Bachelors or Equivalent,None,Investigate nonconforming cell therapy drugs,7,110000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T11:49:01Z,USA,Boston,NA,Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,2,158000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T11:49:23Z,USA,Denver,NA,Industrial Biotech,Eurofins,Private,5000+,,Bachelors or Equivalent,"CTBS, MLS",NA,1,75000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T12:11:47Z,United States,Bay Area,NA,Industrial Biotech,Inscripta,Private,50-200,,Masters or Equivalent,None,independent contributor in R&D,9,120000,,,,,0,,,NA,,,,50-60,NA
2024-01-01T12:13:14Z,United States,Seattle,NA,Start up,Prefer not to say,Private,50-200,,PhD or Equivalent,None,Discovery to lead selection,9,155000,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T12:13:43Z,United States,Bay Area,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,0,155000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:19:25Z,USA,San Diego,NA,Biotech,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,NA,6,153000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:23:55Z,United States,Philadelphia,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,2,200000,,,,,0,,,NA,,,,>60,NA
2024-01-01T12:25:32Z,USA,Chicago,NA,Big Pharmaceuticals,Evozyne,Start-up,50-200,,PhD or Equivalent,None,Research and develop protein design ML algorithms,5,195000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:29:48Z,USA,Boston,NA,Regulatory Affairs,Prefer not to say,Public,5000+,,M.D./PharmD/D.D.S. or Equivalent,None,NA,6,184000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T12:34:28Z,United States,Minneapolis,NA,Big Pharmaceuticals,Takeda,Public,5000+,,Bachelors or Equivalent,None,Manufacturing Associate II - perform and document daily manufacturing operations according to SOPs in a cGMP environment,1,60000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T12:34:43Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Associate in Analytical Development,2,83000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T12:35:21Z,USA,Bay Area,NA,Big Pharmaceuticals,Large pharma,Subsidiary,200-1000,,Bachelors or Equivalent,None,Analytical Chemist,8,150000,,,,,25000,,,NA,,,,40-50,NA
2024-01-01T12:35:39Z,United States,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Scientist- Assay development to support discovery programs,1,130000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T12:37:39Z,USA,Boston,NA,Lab supply distribution,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,"Sell lab supplies, chemicals, and equipment to bio pharma and adjacent industries",15,200000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:43:26Z,USA,Bay Area,NA,Government,Prefer not to say,Government,5000+,,PhD or Equivalent,None,NA,5,170,,,,,0,,,NA,,,,40-50,NA
2024-01-01T12:50:15Z,USA,Boston,NA,Contract Research Organization,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,NA,8,150000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T12:52:21Z,Germany,Frankfurt am Main,NA,Food,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,Lab automation,7,40000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:52:43Z,United States,Bay Area,NA,Big Pharmaceuticals,CAI,Private,200-1000,,Bachelors or Equivalent,None,"Junior CQV Engineer, CQV Consulting",2,88000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T12:56:16Z,United States,Boston,NA,Contract Research Organization,Icon,Public,5000+,,Bachelors or Equivalent,None,NA,2,54000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:59:19Z,Canada,Vancouver,NA,Ancillary reagents,Prefer not to say,Private,1000-5000,,Bachelors or Equivalent,None,MSAT upstream,2,61000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T12:59:54Z,United states,Philadelphia,NA,Academia/Research/Institution,University of Pennsylvania,Academia/College/Universities,5000+,,Masters or Equivalent,LARC CRC ICH-GCP,Lab and biorepository manager. Senior scientist or equivalent roll.,10,74000,,,,,0,,,NA,,,,>60,NA
2024-01-01T13:02:40Z,USA,San diego,NA,Big Pharmaceuticals,Prefer not to say,Private,1-50,,Masters or Equivalent,None,Ipsc-based in vitro disease modeling for our gene therapeutic candidates.,2,94000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T13:07:05Z,USA,Portland,NA,Biotech Equipment,Prefer not to say,Public,1-50,,Bachelors or Equivalent,None,Work between R&D and manufacturing for cell dispensers,2,56000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T13:09:26Z,United States,Bay Area,NA,Agriculture,InnerPlant,Start-up,1-50,,Masters or Equivalent,None,Team Lead managing 3 FT RAs,4,97000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T13:10:20Z,United States of America,Boston,NA,Academia/Research/Institution,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,NA,5,103000,,,,,0,,,NA,,,,50-60,NA
2024-01-01T13:11:53Z,USA,Denver,NA,Contract Manufacturing Organization,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,4,110000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T13:12:28Z,United States,Boston,NA,Biologics,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,3,175000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T13:16:38Z,US,Seattle,NA,Industrial Biotech,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,3,89500,,,,,5000,,,NA,,,,30-40,NA
2024-01-01T13:20:02Z,United States,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,First year associate in a commercial leadership development program,0,79000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T13:23:13Z,USA,Bay Area,NA,Liquid Biopsy,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,Computational Biologist,9,188000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T13:28:53Z,United States,San Diego,NA,Clinical Diagnostics,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Senior Bioinformatics Scientist - Drive feasibility and exploratory studies to expand R&D pipeline with new wet/dry lab methods and biomarker discoveries.,5,170000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T13:47:40Z,United States,Cambridge,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Associate Director in legal department primarily negotiate contracts,10,194000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T13:51:41Z,United States,New York City,NA,Consulting,Prefer not to say,Private,1000-5000,,M.D./PharmD/D.D.S. or Equivalent,None,NA,3,225000,,,,,25000,,,NA,,,,>60,NA
2024-01-01T14:18:19Z,USA,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Private,1000-5000,,PhD or Equivalent,None,"Sr. Scientist - structural biology, early stage discovery",7,132000,,,,,12000,,,NA,,,,40-50,NA
2024-01-01T14:27:49Z,United States,Bay Area,NA,Big Pharmaceuticals,Roche Diagnostics,Public,5000+,,PhD or Equivalent,None,NA,8,188000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T14:29:42Z,usa,san diego,NA,Big Pharmaceuticals,Vertex,Public,5000+,,Masters or Equivalent,None,"image analysis, release assays, data analysis",23,119000,,,,,30000,,,NA,,,,40-50,NA
2024-01-01T14:54:43Z,USA,Philadelphia,NA,Big Pharmaceuticals,GSK,Public,5000+,,PhD or Equivalent,None,Medical Affairs,6,205000,,,,,30000,,,NA,,,,30-40,NA
2024-01-01T14:59:55Z,USA,Chicago,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,M.D./PharmD/D.D.S. or Equivalent,"PE, CQA, CPGP",The blind leading the blinds,12,375000,,,,,NA,,,NA,,,,>60,NA
2024-01-01T15:00:10Z,US,Boston,NA,Big Pharmaceuticals,Vertex pharmaceuticals,Public,5000+,,Masters or Equivalent,PMP,Non-science based role,13,170000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T15:05:08Z,USA,St Louis,NA,Agriculture,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Managing internal protein production and distribution to internal and external technology testing. Manage 2-3 MS level researchers,1,90000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T15:06:04Z,United States,San Diego,NA,Contract Research Organization,Prefer not to say,Private,1-50,,PhD or Equivalent,None,NA,1,110000,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T15:09:09Z,United States,Boston,NA,Academia/Research/Institution,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Computational biology and software engineering,1,200000,,,,,30000,,,NA,,,,40-50,NA
2024-01-01T15:16:42Z,US,Boston,NA,Big Pharmaceuticals,Takeda,Public,5000+,,PhD or Equivalent,None,Head of a program management group,15,220000,,,,,5000,,,NA,,,,>60,NA
2024-01-01T15:17:16Z,US,Chicago,NA,Regulatory Affairs,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,7,166000,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T15:21:07Z,United States,San Diego,NA,Biotech startup,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,4,150000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T15:34:48Z,USA,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,4,85000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T15:39:15Z,US,Boston,NA,Industrial Biotech,Prefer not to say,Private,1-50,,PhD or Equivalent,None,NA,9,260000,,,,,90000,,,NA,,,,30-40,NA
2024-01-01T15:47:58Z,USA,Bay Area,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,"Manage laboratory inventory, maintenance and safety for both open laboratory space and Vivarium. Routinely conducts in vivo experiments as needed.",10,140000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T15:55:51Z,United States,Boston,NA,Big Pharmaceuticals,vertex pharmaceuticals,Public,5000+,,PhD or Equivalent,None,Manage 6 scientists and lead a program,12,224000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T16:00:04Z,United States,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,10,236000,,,,,30000,,,NA,,,,40-50,NA
2024-01-01T16:03:04Z,United States,LA,NA,Big Pharmaceuticals,Amgen,Private,5000+,,PhD or Equivalent,None,Pivotal process development for synthetic oral dosage forms.,5,130000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T16:08:33Z,USA,San Diego,NA,Industrial Biotech,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,NA,6,153000,,,,,7500,,,NA,,,,40-50,NA
2024-01-01T16:28:28Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,PMP,Project Manager,8,175000,,,,,10000,,,NA,,,,40-50,NA
