Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
2023-10-27T20:10:59Z,USA,New York,Academia/Research/Institution,Memorial Sloan Kettering Cancer center,Academia/College/Universities,5000+,Scientific research lead,Masters or Equivalent,None,NA,,113000,,,,0,,,,,NA,Love it
2023-05-31T10:58:36Z,United States,Boston,Agriculture/Food,Greenlight Biosciences,Private,200-1000,Research Associate II,Bachelors or Equivalent,None,NA,,78000,,,,NA,,,,,NA,NA
2023-08-22T11:40:33Z,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Manager,PhD or Equivalent,None,"Manager - Work as a team lead for 6 people managing projects, giving scientific feedback, working with upper management to drive strategy.",,95000,,,,1000,,,,,NA,The company atmosphere is good (though it has been tumultuous at times). Good opportunity for quick advancement. Below average compensation.
2023-08-22T18:47:49Z,United States,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Senior Scientist /Team Lead,Bachelors or Equivalent,None,Senior Scientist- Lead microbial projects for a small startup company.  Manage 1 RA and 1Scientist.,,110000,,,,NA,,,,,NA,NA
2023-12-07T20:47:24Z,United States,Bay Area,Agriculture/Food,Prefer not to say,Start-up,1-50,Research Associate III,Masters or Equivalent,None,NA,,75000,,,,NA,,,,,NA,NA
2023-07-31T23:16:47Z,United States of America,Research Triangle,Agriculture/Food,Prefer not to say,Private,50-200,Research Associate I,Bachelors or Equivalent,GLP,Plant Pathologist: Develop bioassays for screening early candidates in product pipeline,,65000,,,,0,,,,,NA,"Great culture at lower levels, horrible executive strategy at higher levels"
2023-03-29T09:06:24Z,USA,Bay Area,Agriculture/Food,Prefer not to say,Start-up,200-1000,Associate scientist,Bachelors or Equivalent,None,NA,,119000,,,,NA,,,,,NA,NA
2023-03-30T06:00:01Z,USA,DC,Agriculture/Food,FDA,Government,5000+,Biologist,PhD or Equivalent,None,Senior bioinformatician. Non-supervisory.,,145000,,,,NA,,,,,NA,Great work-life balance
2023-04-01T13:26:11Z,USA,Research Triangle,Agriculture/Food,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,Assay development for pesticide discovery research,,95000,,,,NA,,,,,NA,NA
2023-10-04T18:13:44Z,USA,Bay Area,Agriculture/Food,USDA,Government,200-1000,Microbiologist,Bachelors or Equivalent,None,NA,,71000,,,,NA,,,,,NA,NA
2023-10-08T08:42:13Z,USA,"RTP, NC",Agriculture/Food,Syngenta,Public,5000+,sr scientist,PhD or Equivalent,None,NA,,99000,,,,NA,,,,,NA,NA
2023-07-21T08:41:22Z,USA,Indianapolis,Analytical Equipment,Shimadzu Scientific Instruments,Private,200-1000,Technical Support Scientist,Bachelors or Equivalent,None,Advanced customer support,,88000,,,,NA,,,,,8000,Very Positive
2023-10-20T07:11:34Z,Austria,Vienna,Animal Health,MSD,Private,200-1000,Sr. Technician,Masters or Equivalent,None,QC,,40240,,,,0,,,,,NA,NA
2023-08-23T08:22:57Z,USA,Syracuse,Animal Health,Prefer not to say,Start-up,50-200,Operations Scientist,Masters or Equivalent,None,Project management for new product,,110000,,,,5000,,,,,5000,"It's a startup, so hectic and a lot of turnover. But generally fun work, all things considered."
2023-12-16T23:11:35Z,United States,"Minneapolis, mn",Bioengineered organs,Prefer not to say,Public,1000-5000,Bioprocessing tech,Bachelors or Equivalent,None,Cellular manufacturing,,70000,,,,0,,,,,0,NA
2023-03-29T01:55:23Z,USA,Bay Area,Biotech,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,NA,,117000,,,,0,,,,,NA,NA
2023-04-08T23:20:10Z,USA,Bay Area,Biotech,Prefer not to say,Public,1000-5000,Sr Field Applications Scientist,Masters or Equivalent,None,NA,,127000,,,,NA,,,,,NA,NA
2023-04-14T02:11:20Z,United States,San Francisco,Biotech Software,Benchling,Private,200-1000,Product Marketing Manager,PhD or Equivalent,None,NA,,198000,,,,NA,,,,,NA,NA
2023-03-29T18:19:51Z,United States,Boston,Biotech VC,Prefer not to say,Private,50-200,VP,PhD or Equivalent,None,NA,,350000,,,,100000,,,,,NA,NA
2023-03-29T13:52:43Z,United States,Boston,CDMO,Resilience,Start-up,1000-5000,Senior Associate Scientist,Bachelors or Equivalent,None,Senior Associate Scientist - Plan and execute experiments to advance external gene therapy pipelines,,124800,,,,0,,,,,NA,NA
2023-03-29T06:33:42Z,Usa,Boston,Cdmo,Prefer not to say,Private,50-200,Sr. Scientist,Masters or Equivalent,None,PD - no reports,,97000,,,,0,,,,,NA,NA
2023-04-11T00:08:05Z,Canada,Vancouver,Cell culture/separation,STEMCELL tech,Private,1000-5000,"Marketing dpt, lower ranks",Masters or Equivalent,None,SciComm,,60000,,,,NA,,,,,NA,"Pay is abysmally low for one if the highest COL areas on the planet. Overall positive company culture, but painfully micro-managey."
2023-03-29T15:44:57Z,United States,San Diego,Cell therapy,NKGen,Start-up,50-200,Lead Manufacturing Associate,Masters or Equivalent,None,NA,,100000,,,,0,,,,,0,7/10
2023-12-13T15:27:04Z,United States of America,San Diego,Cell Therapy,Artiva Biotherapeutcs,Start-up,1-50,Process Development Associate III,Bachelors or Equivalent,None,Process development for cell therapy,,100000,,,,0,,,,,8000,9/10
2023-07-12T01:52:38Z,United Stated of Americ,Bay Area,Chemical,Biosearch Technologies,Subsidiary,200-1000,Production Technician,Bachelors or Equivalent,None,Oligonucleotide Synthesis,,55000,,,,NA,,,,,0,6/10
2023-11-30T13:23:13Z,United States,San Diego,Chemical,BroadPharm,Private,1-50,Research Associate,Bachelors or Equivalent,None,"Bioconjugation, Organic Chemistry, Analytical chemistry",,65000,,,,NA,,,,,NA,NA
2023-10-27T15:21:19Z,US,Bay Area,Chemical,Thermo,Public,5000+,Scientist III,PhD or Equivalent,None,Process Development,,120000,,,,NA,,,,,NA,NA
2023-03-29T11:29:44Z,USA,Chicago,Chemical,Thermo Fisher Scientific,Public,5000+,Scientist I,Bachelors or Equivalent,None,NA,,71500,,,,NA,,,,,NA,NA
2023-03-29T16:05:16Z,United States,"Atlanta, GA",Contract Research Organization,Prefer not to say,Public,1000-5000,Global Project Manager II,Masters or Equivalent,None,Global Project Manager - no direct reports,,90000,,,,6000,,,,,0,8; much better than previous CRO I was PM at
2023-10-25T22:03:03Z,USA,Minneapolis,Cosmetics,Prefer not to say,Private,200-1000,Regulatory Compliance Analyst,Bachelors or Equivalent,None,NA,,52000,,,,NA,,,,,NA,NA
2023-07-28T09:54:19Z,India,Bangalore,CRO,Prefer not to say,Private,200-1000,Sr.Scientist,PhD or Equivalent,None,Manage 5 Junior scientists,,17045,,,,NA,,,,,NA,NA
2023-03-29T13:21:03Z,United States,Boston,CRO,Prefer not to say,Private,200-1000,Project Manager I,PhD or Equivalent,None,NA,,80000,,,,NA,,,,,NA,NA
2023-04-07T05:07:20Z,United States,San Diego,CRO,Prefer not to say,Private,1000-5000,Director business development,Bachelors or Equivalent,None,NA,,140000,,,,0,,,,,NA,NA
2023-05-18T17:50:33Z,United States,Atlanta,CRO,Prefer not to say,Subsidiary,1000-5000,Supply Chain Manager,Masters or Equivalent,None,NA,,123000,,,,NA,,,,,NA,NA
2023-11-18T19:52:53Z,United States,"Wilmington,DE",CRO,Prefer not to say,Private,200-1000,Associate Scientist,Bachelors or Equivalent,None,NA,,42000,,,,NA,,,,,NA,NA
2023-08-02T01:00:28Z,USA,San Diego,CRO,Eurofins,Subsidiary,1-50,associate Scientist,Bachelors or Equivalent,None,NA,,60000,,,,5000,,,,,NA,NA
2023-09-08T20:38:26Z,Canada,Toronto,Devices,Prefer not to say,Public,200-1000,Scientist II,PhD or Equivalent,None,NA,,100000,,,,NA,,,,,NA,NA
2023-07-12T06:40:32Z,Germany,Berlin,Devices,Prefer not to say,Private,50-200,Field application scientist,PhD or Equivalent,None,NA,,76000,,,,NA,,,,,NA,NA
2023-12-03T18:54:07Z,UK,"Cambridge, UK",Devices,Illumina,Public,5000+,Senior Scientist,PhD or Equivalent,None,"Senior Scientist in R&D, no managment responsibilities",,52000,,,,NA,,,,,NA,NA
2023-03-29T13:01:27Z,United States,Bay Area,Devices,Prefer not to say,Private,50-200,Senior Data Scientist,Bachelors or Equivalent,None,NA,,170000,,,,NA,,,,,NA,NA
2023-04-06T21:38:19Z,United States,Boston,Devices,Bio-Rad Laboratories,Public,5000+,Field Application Scientist II,PhD or Equivalent,None,Help customers by training them on machines and answering questions,,104000,,,,NA,,,,,NA,It’s a good place to work
2023-05-20T12:24:06Z,United States,Boston,Devices,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,NA,,125000,,,,5000,,,,,5000,NA
2023-03-29T06:44:02Z,United States,Boston,Devices,Prefer not to say,Private,200-1000,"Senior Manager, Program Management",PhD or Equivalent,None,NA,,170000,,,,0,,,,,NA,NA
2023-11-12T01:35:21Z,US,Bay Area,Devices,Prefer not to say,Start-up,50-200,Scientist II,PhD or Equivalent,None,R&D technical lead. Manage 3 junior scientists,,170,,,,20000,,,,,NA,NA
2023-04-11T21:43:00Z,USA,New Haven,Devices,Prefer not to say,Public,200-1000,Associate Scientist,Bachelors or Equivalent,None,NA,,73000,,,,NA,,,,,NA,NA
2023-07-16T18:51:17Z,USA,Bay area,Devices,Prefer not to say,Public,200-1000,Research Associate,Bachelors or Equivalent,None,Histology,,77000,,,,NA,,,,,NA,NA
2023-08-25T21:20:09Z,USA,San Diego,Devices,Prefer not to say,Public,5000+,Senior Staff Scientist,PhD or Equivalent,None,NA,,180000,,,,10000,,,,,NA,Sinking ship
2023-10-09T19:22:34Z,USA,San Diego,Devices,Prefer not to say,Public,5000+,Technical Service Engineer,Bachelors or Equivalent,None,NA,,83782,,,,NA,,,,,NA,NA
2023-11-10T14:35:27Z,USA,Chicago,Devices,Thermo Fisher Scientific,Public,5000+,Engineer II,Masters or Equivalent,None,R&D mechanical engineer working with scientists on instruments,,90000,,,,NA,,,,,7000,"Large, disjointed, difficult to find what you need, but what you need does exist"
2023-09-18T01:26:20Z,USA,Bay Area,Diagnostics,Prefer not to say,Start-up,200-1000,Senior Technical Product Manager,PhD or Equivalent,None,"Products are clinical (CLIA/FDA) in the areas: Bioinformatics, Data analytics, Software, Algorithms",,180000,,,,NA,,,,,NA,NA
2023-10-22T01:18:37Z,United States,Salt Lake City,Diagnostics,Prefer not to say,Start-up,1-50,Bioinformatics Engineer,Associate’s Degree or Equivalent,None,"In my Bachelors, part time/full time position",,52000,,,,NA,,,,,NA,11/10
2023-04-30T00:09:02Z,United States,Boston,Energy,Prefer not to say,Private,50-200,Research Scientist,Bachelors or Equivalent,None,NA,,115000,,,,NA,,,,,NA,NA
2023-10-29T17:27:08Z,United States,"Columbus, Ohio",Gene therapy,Forge Biologics,Private,200-1000,Sr Associate Scientist,Masters or Equivalent,None,NA,,75000,,,,NA,,,,,NA,NA
2023-06-12T22:39:53Z,United States,Chicago,Genomics,Prefer not to say,Private,1000-5000,QA specialist,Bachelors or Equivalent,None,NA,,80000,,,,5000,,,,,NA,NA
2023-03-29T14:48:51Z,USA,Columbus,Genomics,Prefer not to say,Private,200-1000,Sr. Fas II,PhD or Equivalent,None,NA,,129000,,,,15000,,,,,NA,great company
2023-04-01T00:05:30Z,USA,Seattle,Government,Prefer not to say,Government,200-1000,Microbiologist,Bachelors or Equivalent,None,NA,,54000,,,,NA,,,,,NA,NA
2023-10-22T21:03:53Z,USA,Boston,Hospital,Prefer not to say,Public,5000+,Bioinfomratics Analyst,Bachelors or Equivalent,None,NA,,72000,,,,0,,,,,NA,NA
2023-08-16T20:21:39Z,United States,New York City,Immuno oncology,Prefer not to say,Public,1-50,Senior Scientist,PhD or Equivalent,None,NA,,130000,,,,0,,,,,NA,NA
2023-03-29T05:16:31Z,Canada,Vancouver,Industrial Biotech,Prefer not to say,Private,1-50,Research Associate,Bachelors or Equivalent,None,NA,,63000,,,,NA,,,,,NA,NA
2023-03-29T09:45:39Z,Canada,Toronto,Industrial Biotech,Prefer not to say,Public,200-1000,Account Manager,Masters or Equivalent,None,NA,,150000,,,,NA,,,,,NA,NA
2023-03-29T13:16:36Z,Canada,Vancouver,Industrial Biotech,STEMCELL Technologies,Private,1000-5000,Scientist,PhD or Equivalent,None,NA,,100,,,,0,,,,,3000,NA
2023-03-31T22:55:19Z,Canada,Toronto,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,Product Development Scientist,,102000,,,,4000,,,,,NA,NA
2023-04-01T08:31:24Z,Canada,Toronto,Industrial Biotech,Prefer not to say,Public,5000+,Production Manager,Bachelors or Equivalent,None,Manage 9 scientists,,107000,,,,0,,,,,NA,NA
2023-03-29T09:38:52Z,England,London,Industrial Biotech,Prefer not to say,Start-up,1-50,Research manager,PhD or Equivalent,None,Oversee and manage research projects,,55000,,,,0,,,,,0,N/A
2023-03-29T05:47:40Z,Germany,NRW,Industrial Biotech,Prefer not to say,Private,1-50,Student trainee in R&D,Bachelors or Equivalent,None,Cloning and production of specialized DNA and plasmids,,14000,,,,NA,,,,,NA,NA
2023-10-18T06:37:12Z,Germany,Saxony,Industrial Biotech,Prefer not to say,Start-up,1-50,Research associate,Masters or Equivalent,None,NA,,40000,,,,NA,,,,,NA,NA
2023-05-19T10:52:07Z,Ireland,Limerick,Industrial Biotech,Regeneron,Private,5000+,Scientist,Masters or Equivalent,None,Scientist Upstream Lab,,63000,,,,NA,,,,,NA,NA
2023-11-12T11:43:22Z,Netherlands,Amsterdam,Industrial Biotech,MaxCyte,Public,50-200,Senior Scientist,PhD or Equivalent,None,NA,,130000,,,,NA,,,,,NA,NA
2023-04-12T08:22:51Z,UK,"Cambridge, UK",Industrial Biotech,Source BioScience,Private,200-1000,Scientist 1,Masters or Equivalent,None,NA,,25800,,,,NA,,,,,NA,NA
2023-12-09T08:48:28Z,United Kingdom,Oxford,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Scientist,PhD or Equivalent,None,"Senior Scientist, Patent holder for core assay, manager of 2 RA's",,50500,,,,NA,,,,,NA,NA
2023-09-06T20:16:25Z,United Kingdom,Cambridge,Industrial Biotech,Prefer not to say,Start-up,50-200,Research Associate,Masters or Equivalent,None,Lentivirus Production & Vector QC,,32000,,,,NA,,,,,NA,NA
2023-03-29T00:33:21Z,United States,Boston,Industrial Biotech,Prefer not to say,Public,200-1000,Sr. Scientist,PhD or Equivalent,None,NA,,165000,,,,NA,,,,,NA,NA
2023-03-29T02:15:25Z,United States,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,"Director, Medicinal Chemistry",PhD or Equivalent,None,NA,,209000,,,,NA,,,,,NA,NA
2023-03-29T02:26:06Z,United States,Seattle,Industrial Biotech,Prefer not to say,Start-up,50-200,Research Associate,Bachelors or Equivalent,None,NA,,72800,,,,NA,,,,,NA,NA
2023-03-29T10:28:35Z,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Associate Scientist,Bachelors or Equivalent,None,NA,,101222,,,,NA,,,,,NA,NA
2023-03-29T11:13:44Z,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,1-50,Research Associate I,Bachelors or Equivalent,None,NA,,70000,,,,NA,,,,,NA,NA
2023-03-29T12:29:05Z,United States,Boston,Industrial Biotech,Prefer not to say,Public,200-1000,Contract Research Associate,Bachelors or Equivalent,None,NA,,92000,,,,0,,,,,NA,NA
2023-03-29T13:02:49Z,United States,Bay Area,Industrial Biotech,Sangamo Therapeutics,Public,200-1000,Research Associate II,Bachelors or Equivalent,None,NA,,85000,,,,0,,,,,NA,"great experience work life balance, gym, mental health and fitness stipend"
2023-03-29T13:15:29Z,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist II Computational Biology,PhD or Equivalent,None,NA,,155000,,,,10000,,,,,NA,NA
2023-03-29T13:18:30Z,United States,Bay Area,Industrial Biotech,Zymergen,Public,200-1000,Research Associate 2,Bachelors or Equivalent,None,NA,,78000,,,,NA,,,,,NA,Good experience but short-lived because of layoffs
2023-03-29T14:07:46Z,United States,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Quality Manager,Bachelors or Equivalent,None,"Quality on the floor, real time review with manufacturing, batch release",,115000,,,,0,,,,,0,3/10 a year ago. 7/10 now
2023-03-29T15:38:26Z,United States,Portland,Industrial Biotech,Prefer not to say,Public,1000-5000,Scientific Director,Bachelors or Equivalent,None,Manage scientists,,245000,,,,NA,,,,,NA,NA
2023-03-29T18:53:46Z,United States,Los Angeles,Industrial Biotech,Prefer not to say,Start-up,1-50,Principle Scientist,PhD or Equivalent,None,NA,,175000,,,,0,,,,,NA,NA
2023-03-29T22:50:24Z,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Scientist,PhD or Equivalent,None,NA,,150000,,,,NA,,,,,NA,NA
2023-03-31T14:47:14Z,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Research Associate II,Bachelors or Equivalent,None,NA,,95000,,,,NA,,,,,NA,NA
2023-04-02T15:09:29Z,United States,Boston,Industrial Biotech,Prefer not to say,Public,50-200,Senior Scientist I,PhD or Equivalent,None,Discovery Research.  50/50 time spent at the bench.  Manage 2 junior scientists,,147340,,,,5000,,,,,NA,NA
2023-04-03T20:22:42Z,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Associate Director,PhD or Equivalent,None,Program management,,185000,,,,20000,,,,,NA,NA
2023-04-09T20:16:13Z,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior researcher,PhD or Equivalent,None,NA,,95000,,,,NA,,,,,10000,NA
2023-04-11T15:20:23Z,United States,Bay Area,Industrial Biotech,Prefer not to say,Public,5000+,Bioinformatics Manager,PhD or Equivalent,None,"80% management of a team of bioinformaticians, 20% hands-on bioinformatics work.",,191000,,,,0,,,,,NA,Good
2023-04-11T19:00:02Z,United States,Philadelphia,Industrial Biotech,Integral Molecular,Private,50-200,Research Associate I,Bachelors or Equivalent,Biotechnology A.A.S,DNA purification work on a protein library. High throughput screening of customer MAbs. Tissue culture for multiple cell lines.,,56400,,,,NA,,,,,NA,Great workplace for people earlier in their careers looking to gain experience and learn. High throughput/high volume nature of work can lead to burn out. Lower salaries compared to other companies in the area
2023-04-14T22:32:39Z,United States,San Diego,Industrial Biotech,Prefer not to say,Private,200-1000,Principal Scientist,PhD or Equivalent,None,Bioinformatics,,258000,,,,100000,,,,,NA,5/5
2023-04-16T19:13:53Z,United States,Minneapolis,Industrial Biotech,Bio-Techne,Public,1000-5000,Advanced Research Associate,Masters or Equivalent,None,"Work on a team to develop new products, including leading one project",,60000,,,,2000,,,,,0,NA
2023-04-17T13:00:28Z,United States,Seattle,Industrial Biotech,Roche,Public,5000+,Scientist,Bachelors or Equivalent,None,High throughput protein screening development and management of training new people on methods. Lead on Hamilton Stars,,115000,,,,0,,,,,0,It’s fine. Directly depends on your site and manager
2023-04-20T15:37:32Z,United States,Boston,Industrial Biotech,Dyno Therapeutics,Start-up,50-200,Senior Research Associate,Bachelors or Equivalent,None,AAV production for animal studies and subsequent tissue processing for NGS analysis,,91000,,,,0,,,,,NA,Machine Learning technology seems to work but company is managed poorly. Incredibly tight deadlines and stressful sprints. Many Wetlab RAs are looking to exit within the next year unless something dramatic changes. Hard to advance without PhD.
