Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
5/8/2022 20:23:41,Research Triangle Park,Medical testing,NA,Private,5000+,Research Associate II,Bachelors or Equivalent,6,70000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 20:31:34,Santa Barbara,Pharmaceutical (including “big pharma”),A,Public,5000+,QC Analyst I,Bachelors or Equivalent,5,72300,10,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 20:51:20,St. Louis,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior scientist,PhD or Equivalent,1,108000,7020,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 20:52:31,Seattle,Pharmaceutical (including “big pharma”),Roche,Public,5000+,Senior Research Associate,Bachelors or Equivalent,4,95000,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 21:18:26,Boston,Medical Devices,NA,Private,1-50,Applications Engineer,PhD or Equivalent,2,106200,10620,Not Applicable/None,3000,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 21:26:23,Maryland,Pharmaceutical (including “big pharma”),NA,Private,1-50,Scientist I,PhD or Equivalent,1,95000,10%,Not Applicable/None,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 21:57:37,Philadelphia,Academia/Research,NA,Academia/College/Universities,1000-5000,Research Associate III,Masters or Equivalent,15,56182,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:01:33,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Scientist,PhD or Equivalent,3,127000,15%,7%,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:05:19,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Scientist,PhD or Equivalent,1,144000,20%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:06:10,New York,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Associate Project Manager,Bachelors or Equivalent,1,82350,8235,Not Applicable/None,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:10:57,Pennsylvania,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Manager,PhD or Equivalent,8,140000,25000,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:21:30,Washington DC,Pharmaceutical (including “big pharma”),GSK,Public,5000+,Production Associate Director,Bachelors or Equivalent,16,148000,18%,"$35,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:44:29,Florida,Academia/Research,NA,Academia/College/Universities,5000+,Lab Tech,Bachelors or Equivalent,2,31200,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:46:52,Boston,"I’m in flavors and fragrances department, but we also have nutraceuticals and biologics at the company.",Conagen,Private,50-200,"Scientist II, Strain Development",PhD or Equivalent,2,85000,1300,Not Applicable/None,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 22:53:25,"Houston, TX",Pharmaceutical (including “big pharma”),Immatics,Public,200-1000,Senior Manufacturing Associate,Bachelors or Equivalent,6,81180,9741,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:09:47,Bay area,Pharmaceutical (including “big pharma”),Startup,Public,50-200,Science II,Bachelors or Equivalent,6,135000,20000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:17:52,San Diego,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Senior Research Associates,Bachelors or Equivalent,4,90000,20%,RSU  yearly,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:33:25,San Diego,Medical Devices,NA,Public,200-1000,Biochemist I,Bachelors or Equivalent,1,58000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:35:37,Carlsbad,Medical Devices,Thermo Fisher,Public,5000+,Scientist II,Bachelors or Equivalent,7,75000,5625,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:47:46,Midwest,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,VP,PhD or Equivalent,15,265000,60000,250000,100000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 23:48:50,"Houston, TX",Academia/Research,NA,Academia/College/Universities,5000+,Staff Scientist,PhD or Equivalent,6,56000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 0:26:00,"Sacramento, CA",Academia/Research,UC Davis,Academia/College/Universities,5000+,SRA II (Lab Manager/Research Coordinator),Masters or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 0:32:10,Toronto,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist,PhD or Equivalent,4,90000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 0:36:53,San Diego,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Research Associate II,Bachelors or Equivalent,6,93000,9300,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
